Name,Scientific Name,Class,Family,Lifespan (years),Top Speed (km/h),Weight (kg),Length (cm),Diet,Population Trend,Population Status,Mating Behavior,Arid Climate,Cold Climate,Polar Climate,Temperate Climate,Tropical Climate,Africa,Antarctica,Asia,Europe,North America,Oceania,South America
Nicobar Pigeon,Caloenas nicobarica,Aves,Columbidae,11.5,66.8076923076923,0.53,40.0,2,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0
Nightingale,Luscinia megarhynchos,Aves,Muscicapidae,4.5,29.0,0.021,15.5,0,2,1,0,0,0,0,1,1,1,0,1,1,0,0,0
Nile Crocodile,Crocodylus niloticus,Reptilia,Crocodylidae,65.0,35.0,362.5,450.0,1,2,1,1,1,0,0,1,1,1,0,0,0,0,0,0
Nile Lechwe,Kobus megaceros,Mammalia,Bovidae,11.0,41.829850746268654,90.0,150.0,2,1,2,1,0,0,0,0,1,1,0,0,0,0,0,0
Nile Monitor,Varanus niloticus,Reptilia,Varanidae,15.0,22.147727272727273,10.0,170.0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
Nilgai,Boselaphus tragocamelus,Mammalia,Bovidae,15.5,46.0,194.0,150.0,2,2,1,2,1,0,0,0,1,0,0,1,0,0,0,0
Nilgiri Langur,Semnopithecus johnii,Mammalia,Cercopithecidae,18.121026894865526,41.829850746268654,11.5,69.0,2,1,2,2,0,0,0,0,1,0,0,1,0,0,0,0
Nilgiri Marten,Martes gwatkinsii,Mammalia,Mustelidae,18.121026894865526,41.829850746268654,2.0,60.0,0,2,2,2,0,0,0,0,1,0,0,1,0,0,0,0
Nilgiri Tahr,Nilgiritragus hylocrius,Mammalia,Bovidae,6.0,41.829850746268654,75.0,115.0,2,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0
Nine-Banded Armadillo ,Dasypus novemcinctus,Mammalia,Dasypodidae,7.5,48.0,4.0,48.0,0,2,1,1,1,0,0,1,1,0,0,0,0,1,0,1
North American Porcupine,Erethizon dorsatum,Mammalia,Erethizontidae,18.0,3.0,10.5,75.0,2,2,1,1,0,1,1,1,0,0,0,0,0,1,0,0
North American River Otter,Lontra canadensis,Mammalia,Mustelidae,19.5,29.0,7.5,88.0,1,2,1,1,0,1,1,1,0,0,0,0,0,1,0,0
North Atlantic Right Whale,Eubalaena glacialis,Mammalia,Balaenidae,75.0,16.0,55000.0,1450.0,1,1,2,1,0,1,1,1,0,0,0,0,1,1,0,0
Northern Alligator Lizard,Elgaria coerulea,Reptilia,Anguidae,6.5,22.147727272727273,28.274673913043493,27.0,1,2,1,2,0,0,0,1,0,0,0,0,0,1,0,0
Northern Boa,Boa imperator,Reptilia,Boidae,30.0,22.147727272727273,6.0,104.66383928571429,1,2,1,1,0,0,0,0,1,0,0,0,0,1,0,1
Northern Bobwhite,Colinus virginianus,Aves,Odontophoridae,3.5,66.8076923076923,0.151,26.0,2,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0
Northern Bottlenose Whale,Hyperoodon ampullatus,Mammalia,Ziphiidae,40.0,41.829850746268654,6650.0,800.0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0
Northern Brown Kiwi,Apteryx mantelli,Aves,Apterygidae,35.0,66.8076923076923,2.0,49.30568669527897,0,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0
Northern Cardinal,Cardinalis cardinalis,Aves,Cardinalidae,15.0,66.8076923076923,0.049,22.0,2,2,1,0,0,1,0,1,1,0,0,0,0,1,0,0
Northern Flicker,Colaptes auratus,Aves,Picidae,9.0,66.8076923076923,0.135,29.5,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0
Northern Flying Squirrel,Glaucomys sabrinus,Mammalia,Sciuridae,8.5,41.829850746268654,0.107,31.0,2,2,1,2,0,1,1,1,0,0,0,0,0,1,0,0
Northern Fulmar,Fulmarus glacialis,Aves,Procellariidae,42.0,47.0,0.725,44.5,1,3,1,0,0,1,1,1,0,0,0,1,1,1,0,0
Northern Fur Seal,Callorhinus ursinus,Mammalia,Otariidae,26.0,24.0,163.0,150.0,1,1,2,1,0,1,1,1,0,0,0,1,0,1,0,0
Northern Gannet,Morus bassanus,Aves,Sulidae,27.0,65.0,2.5,93.5,1,3,1,0,0,1,0,1,1,1,0,1,1,1,0,0
Northern Goshawk,Accipiter gentilis,Aves,Accipitridae,24.0,98.0,0.251,57.5,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0
Northern Hairy-Nosed Wombat,Lasiorhinus krefftii,Mammalia,Vombatidae,25.0,40.0,31.0,90.0,2,2,2,0,1,0,0,1,0,0,0,0,0,0,1,0
Northern Hawk-Owl,Surnia ulula,Aves,Strigidae,10.0,66.8076923076923,0.32,40.5,1,2,1,0,0,1,1,1,0,0,0,1,1,1,0,0
Northern Map Turtle,Graptemys geographica,Reptilia,Emydidae,17.5,22.147727272727273,0.076,18.5,1,2,1,2,0,0,0,1,0,0,0,0,0,1,0,0
Northern Mockingbird,Mimus polyglottos,Aves,Mimidae,14.0,66.8076923076923,0.049,24.0,0,2,1,0,0,0,0,1,1,0,0,0,0,1,0,0
Northern Muriqui,Brachyteles hypoxanthus,Mammalia,Atelidae,30.0,41.829850746268654,11.0,126.0,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1
Northern Pika,Ochotona hyperborea,Mammalia,Ochotonidae,3.0,41.829850746268654,0.15,15.0,2,2,1,1,0,1,1,1,0,0,0,1,1,0,0,0
Northern Pintail,Anas acuta,Aves,Anatidae,22.0,77.0,0.226,63.5,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1
Northern Pygmy Owl,Glaucidium californicum,Aves,Strigidae,6.5,66.8076923076923,0.068,16.0,1,3,1,0,0,0,0,1,1,0,0,0,0,1,0,0
